Phy mapping dump:
      port   id0   id1  addr iaddr                    name    timeout
  xe0(  1)   143  bff0    d1    d1              WC-B0/16/0     250000  
  xe1(  2)   143  bff0    d1    d1              WC-B0/16/1     250000  
  xe2(  3)   143  bff0    d1    d1              WC-B0/16/2     250000  
  xe3(  4)   143  bff0    d1    d1              WC-B0/16/3     250000  
  xe4(  5)   143  bff0    d5    d5              WC-B0/17/0     250000  
  xe5(  6)   143  bff0    d5    d5              WC-B0/17/1     250000  
  xe6(  7)   143  bff0    d5    d5              WC-B0/17/2     250000  
  xe7(  8)   143  bff0    d5    d5              WC-B0/17/3     250000  
  xe8(  9)   143  bff0    85    85              WC-B0/01/0     250000  
  xe9( 10)   143  bff0    85    85              WC-B0/01/1     250000  
 xe10( 11)   143  bff0    85    85              WC-B0/01/2     250000  
 xe11( 12)   143  bff0    85    85              WC-B0/01/3     250000  
 xe12( 13)   143  bff0    89    89              WC-B0/02/0     250000  
 xe13( 14)   143  bff0    89    89              WC-B0/02/1     250000  
 xe14( 15)   143  bff0    89    89              WC-B0/02/2     250000  
 xe15( 16)   143  bff0    89    89              WC-B0/02/3     250000  
 xe16( 17)   143  bff0    8d    8d              WC-B0/03/0     250000  
 xe17( 18)   143  bff0    8d    8d              WC-B0/03/1     250000  
 xe18( 19)   143  bff0    8d    8d              WC-B0/03/2     250000  
 xe19( 20)   143  bff0    8d    8d              WC-B0/03/3     250000  
 xe20( 21)   143  bff0    91    91              WC-B0/04/1     250000  
 xe21( 22)   143  bff0    91    91              WC-B0/04/0     250000  
 xe22( 23)   143  bff0    91    91              WC-B0/04/3     250000  
 xe23( 24)   143  bff0    91    91              WC-B0/04/2     250000  
 xe24( 25)   143  bff0    95    95              WC-B0/05/1     250000  
 xe25( 26)   143  bff0    95    95              WC-B0/05/0     250000  
 xe26( 27)   143  bff0    95    95              WC-B0/05/3     250000  
 xe27( 28)   143  bff0    95    95              WC-B0/05/2     250000  
 xe28( 29)   143  bff0    a1    a1              WC-B0/06/0     250000  
 xe29( 30)   143  bff0    a1    a1              WC-B0/06/1     250000  
 xe30( 31)   143  bff0    a1    a1              WC-B0/06/2     250000  
 xe31( 32)   143  bff0    a1    a1              WC-B0/06/3     250000  
 xe32( 33)   143  bff0    a5    a5              WC-B0/07/0     250000  
 xe33( 34)   143  bff0    a5    a5              WC-B0/07/1     250000  
 xe34( 35)   143  bff0    a5    a5              WC-B0/07/2     250000  
 xe35( 36)   143  bff0    a5    a5              WC-B0/07/3     250000  
 xe36( 37)   143  bff0    a9    a9              WC-B0/08/0     250000  
 xe37( 38)   143  bff0    a9    a9              WC-B0/08/1     250000  
 xe38( 39)   143  bff0    a9    a9              WC-B0/08/2     250000  
 xe39( 40)   143  bff0    a9    a9              WC-B0/08/3     250000  
 xe40( 41)   143  bff0    ad    ad              WC-B0/09/0     250000  
 xe41( 42)   143  bff0    ad    ad              WC-B0/09/1     250000  
 xe42( 43)   143  bff0    ad    ad              WC-B0/09/2     250000  
 xe43( 44)   143  bff0    ad    ad              WC-B0/09/3     250000  
 xe44( 45)   143  bff0    b1    b1              WC-B0/10/0     250000  
 xe45( 46)   143  bff0    b1    b1              WC-B0/10/1     250000  
 xe46( 47)   143  bff0    b1    b1              WC-B0/10/2     250000  
 xe47( 48)   143  bff0    b1    b1              WC-B0/10/3     250000  
 xe48( 49)   143  bff0    c1    c1              WC-B0/12/4     250000  
 xe49( 50)   143  bff0    b5    b5              WC-B0/11/4     250000  
 xe50( 51)   143  bff0    cd    cd              WC-B0/15/4     250000  
 xe51( 52)   143  bff0    c9    c9              WC-B0/14/4     250000  
