=== xe48 lane 0 (phy 0xc1) ===
  0x8000: 0x2c2f
  0x8001: 0x8b0e
  0x8002: 0x0707
  0x8003: 0xbcbc
  0x8004: 0x1c1c
  0x8005: 0xfbfd
  0x8006: 0xfe7c
  0x8007: 0x0410
  0x8008: 0xa040
  0x8009: 0x0010
  0x800a: 0x9c00
  0x800b: 0x0001
  0x800c: 0xa000
  0x800d: 0x401f
  0x800e: 0x0000
  0x800f: 0x800f
  0x8010: 0xce00
  0x8011: 0x0000
  0x8012: 0x0080
  0x8013: 0x0000
  0x8014: 0x0000
  0x8015: 0x00ff
  0x8016: 0x5555
  0x8017: 0xff00
  0x8018: 0x0200
  0x8019: 0x0000
  0x801a: 0x0100
  0x801b: 0x0000
  0x801c: 0x0000
  0x801d: 0x0000
  0x801e: 0x22ca
  0x801f: 0x801f
  0x8020: 0x0000
  0x8021: 0xfbfd
  0x8022: 0x3040
  0x8023: 0x0000
  0x8024: 0x0000
  0x8025: 0x0707
  0x8026: 0x0707
  0x8027: 0x0000
  0x8028: 0x0000
  0x8029: 0x0000
  0x802a: 0x0000
  0x802b: 0x0000
  0x802c: 0x0000
  0x802d: 0x0000
  0x802e: 0x0000
  0x802f: 0x802f
  0x8030: 0x0000
  0x8031: 0xfbfd
  0x8032: 0x0000
  0x8033: 0x0000
  0x8034: 0x0000
  0x8035: 0x0000
  0x8036: 0x0000
  0x8037: 0x0000
  0x8038: 0x0000
  0x8039: 0x0000
  0x803a: 0x0000
  0x803b: 0x0000
  0x803c: 0x0000
  0x803d: 0x0000
  0x803e: 0x0000
  0x803f: 0x803f
  0x8040: 0x0000
  0x8041: 0xfbfd
  0x8042: 0x3040
  0x8043: 0x0000
  0x8044: 0x0000
  0x8045: 0x0707
  0x8046: 0x0707
  0x8047: 0x0000
  0x8048: 0x0000
  0x8049: 0x0000
  0x804a: 0x0000
  0x804b: 0x0000
  0x804c: 0x0000
  0x804d: 0x0000
  0x804e: 0x0000
  0x804f: 0x804f
  0x8050: 0xff4a
  0x8051: 0xd006
  0x8052: 0x02ff
  0x8053: 0x0cff
  0x8054: 0x00ff
  0x8055: 0x0400
  0x8056: 0x0000
  0x8057: 0xff00
  0x8058: 0x3aca
  0x8059: 0x0000
  0x805a: 0x0000
  0x805b: 0x8000
  0x805c: 0x0016
  0x805d: 0x0000
  0x805e: 0x0077
